"",,,"1958-1962",,,"1963-1967",,,"1968-1972",,,"1973-1977",,,"1978-1982",,,"1983-1987",,,"1988-1992",,,"1993-1997",,,"1998-2002",,,"2003-2007",,,"2008-2012",,,"2013-2017",,
"4100.|Total area of the country (1000 ha)","4.|Algeria","World | Africa",238174.0,"E",,238174.0,"E",,238174.0,"E",,238174.0,"E",,238174.0,"E",,238174.0,"E",,238174.0,"E",,238174.0,"E",,238174.0,"E",,238174.0,"E",,238174.0,"E",,238174.0,"E",
"4253.|Total water withdrawal (10^9 m3/year)","146.|Republic of Moldova","World | Europe",,"",,,"",,,"",,,"",,,"",,,"",,1.963,"",,,"",,,"",,1.065,"I",,,"",,,"",
"4253.|Total water withdrawal (10^9 m3/year)","183.|Romania","World | Europe",,"",,,"",,9.59,"",,14.4,"",,18.8,"",,20.5,"",,20.41,"",,12.46,"",,9.222,"K",,6.884,"E",,6.482,"E",,6.418,"E",
"4253.|Total water withdrawal (10^9 m3/year)","185.|Russian Federation","World | Europe",,"",,,"",,,"",,,"",,,"",,,"",,,"",,77.1,"",,66.2,"",,,"",,,"",,61.0,"",
"4253.|Total water withdrawal (10^9 m3/year)","192.|San Marino","World | Europe",,"",,,"",,,"",,,"",,,"",,,"",,,"",,,"",,,"",,,"",,,"",,,"",
"4253.|Total water withdrawal (10^9 m3/year)","272.|Serbia","World | Europe",,"",,,"",,,"",,,"",,,"",,,"",,,"",,,"",,,"",,3.958,"E",,3.869,"E",,4.15,"E",
"4253.|Total water withdrawal (10^9 m3/year)","199.|Slovakia","World | Europe",,"",,,"",,,"",,,"",,,"",,,"",,,"",,1.31,"E",,1.094,"E",,0.688,"E",,0.6653,"E",,0.5593,"E",
"4253.|Total water withdrawal (10^9 m3/year)","198.|Slovenia","World | Europe",,"",,,"",,,"",,,"",,,"",,,"",,,"",,,"",,0.8992,"E",,0.9349,"E",,0.9281,"E",,1.156,"E",
"4253.|Total water withdrawal (10^9 m3/year)","203.|Spain","World | Europe",,"",,,"",,,"",,36.08,"E",,39.92,"E",,45.85,"",,36.9,"E",,34.6,"E",,35.94,"E",,35.57,"E",,37.35,"E",,,"",
"4253.|Total water withdrawal (10^9 m3/year)","210.|Sweden","World | Europe",,"",,,"",,4.073,"E",,4.135,"E",,4.106,"E",,2.97,"E",,2.973,"E",,2.711,"E",,2.676,"E",,2.63,"E",,2.689,"E",,,"",
"4253.|Total water withdrawal (10^9 m3/year)","211.|Switzerland","World | Europe",,"",,,"",,,"",,2.598,"E",,2.589,"E",,2.646,"E",,2.695,"E",,2.559,"E",,2.518,"E",,,"",,2.005,"E",,,"",
"4253.|Total water withdrawal (10^9 m3/year)","154.|The former Yugoslav Republic of Macedonia","World | Europe",,"",,,"",,,"",,,"",,,"",,,"",,,"",,1.555,"",,0.6332,"E",,0.5512,"E",,,"",,,"",
"4253.|Total water withdrawal (10^9 m3/year)","230.|Ukraine","World | Europe",,"",,,"",,,"",,,"",,,"",,,"",,26.0,"",,,"",,18.28,"",,15.08,"",,14.85,"",,,"",
"4253.|Total water withdrawal (10^9 m3/year)","229.|United Kingdom","World | Europe",,"",,,"",,,"",,,"",,13.51,"E",,11.53,"E",,12.05,"E",,12.12,"E",,15.81,"K",,8.513,"E",,8.214,"E",,,"",
"4253.|Total water withdrawal (10^9 m3/year)","10.|Australia","World | Oceania",,"",,,"",,,"",,,"",,,"",,,"",,,"",,22.19,"E",,21.7,"",,18.76,"",,16.02,"",,19.75,"",
"4253.|Total water withdrawal (10^9 m3/year)","47.|Cook Islands","World | Oceania",,"",,,"",,,"",,,"",,,"",,,"",,,"",,,"",,,"",,,"",,,"",,,"",
"4253.|Total water withdrawal (10^9 m3/year)","66.|Fiji","World | Oceania",,"",,,"",,,"",,,"",,,"",,0.03,"",,,"",,,"",,0.0817,"I",,0.0849,"I",,,"",,,"",
"4253.|Total water withdrawal (10^9 m3/year)","83.|Kiribati","World | Oceania",,"",,,"",,,"",,,"",,,"",,,"",,,"",,,"",,,"",,,"",,,"",,,"",
"4253.|Total water withdrawal (10^9 m3/year)","127.|Marshall Islands","World | Oceania",,"",,,"",,,"",,,"",,,"",,,"",,,"",,,"",,,"",,,"",,,"",,,"",
"4253.|Total water withdrawal (10^9 m3/year)","145.|Micronesia (Federated States of)","World | Oceania",,"",,,"",,,"",,,"",,,"",,,"",,,"",,,"",,,"",,,"",,,"",,,"",
"4253.|Total water withdrawal (10^9 m3/year)","148.|Nauru","World | Oceania",,"",,,"",,,"",,,"",,,"",,,"",,,"",,,"",,,"",,,"",,,"",,,"",
"4253.|Total water withdrawal (10^9 m3/year)","156.|New Zealand","World | Oceania",,"",,,"",,,"",,,"",,1.2,"",,1.9,"",,,"",,,"",,3.14,"E",,4.908,"E",,5.201,"E",,,"",
"4253.|Total water withdrawal (10^9 m3/year)","160.|Niue","World | Oceania",,"",,,"",,,"",,,"",,,"",,,"",,,"",,,"",,,"",,,"",,,"",,,"",
"4253.|Total water withdrawal (10^9 m3/year)","180.|Palau","World | Oceania",,"",,,"",,,"",,,"",,,"",,,"",,,"",,,"",,,"",,,"",,,"",,,"",
"4253.|Total water withdrawal (10^9 m3/year)","244.|Samoa","World | Oceania",,"",,,"",,,"",,,"",,,"",,,"",,,"",,,"",,,"",,,"",,,"",,,"",
"4253.|Total water withdrawal (10^9 m3/year)","25.|Solomon Islands","World | Oceania",,"",,,"",,,"",,,"",,,"",,,"",,,"",,,"",,,"",,,"",,,"",,,"",
"4253.|Total water withdrawal (10^9 m3/year)","218.|Tokelau","World | Oceania",,"",,,"",,,"",,,"",,,"",,,"",,,"",,,"",,,"",,,"",,,"",,,"",
"4253.|Total water withdrawal (10^9 m3/year)","219.|Tonga","World | Oceania",,"",,,"",,,"",,,"",,,"",,,"",,,"",,,"",,,"",,,"",,,"",,,"",
"4253.|Total water withdrawal (10^9 m3/year)","227.|Tuvalu","World | Oceania",,"",,,"",,,"",,,"",,,"",,,"",,,"",,,"",,,"",,,"",,,"",,,"",
"4253.|Total water withdrawal (10^9 m3/year)","155.|Vanuatu","World | Oceania",,"",,,"",,,"",,,"",,,"",,,"",,,"",,,"",,,"",,,"",,,"",,,"",

"",,,"1958-1962",,,"1963-1967",,,"1968-1972",,,"1973-1977",,,"1978-1982",,,"1983-1987",,,"1988-1992",,,"1993-1997",,,"1998-2002",,,"2003-2007",,,"2008-2012",,,"2013-2017",,
"4475.|Irrigation water withdrawal (10^9 m3/year)","4.|Algeria","World | Africa",,"",,,"",,,"",,,"",,,"",,,"",,,"",,,"",,3.502,"L",,,"",,,"",,,"",
"4475.|Irrigation water withdrawal (10^9 m3/year)","7.|Angola","World | Africa",,"",,,"",,,"",,,"",,,"",,,"",,,"",,,"",,,"",,0.1467,"L",,,"",,,"",
"4475.|Irrigation water withdrawal (10^9 m3/year)","53.|Benin","World | Africa",,"",,,"",,,"",,,"",,,"",,,"",,,"",,,"",,0.045,"",,,"",,,"",,,"",
"4475.|Irrigation water withdrawal (10^9 m3/year)","20.|Botswana","World | Africa",,"",,,"",,,"",,,"",,,"",,,"",,,"",,,"",,0.029,"","[316]",,"",,,"",,,"",
"4475.|Irrigation water withdrawal (10^9 m3/year)","233.|Burkina Faso","World | Africa",,"",,,"",,,"",,,"",,,"",,,"",,,"",,,"",,0.4207,"L",,,"",,,"",,,"",
"4475.|Irrigation water withdrawal (10^9 m3/year)","29.|Burundi","World | Africa",,"",,,"",,,"",,,"",,,"",,,"",,,"",,,"",,0.2,"","[317]",,"",,,"",,,"",
"4475.|Irrigation water withdrawal (10^9 m3/year)","35.|Cabo Verde","World | Africa",,"",,,"",,,"",,,"",,,"",,,"",,,"",,,"",,,"",,0.025,"L",,,"",,,"",
"4475.|Irrigation water withdrawal (10^9 m3/year)","32.|Cameroon","World | Africa",,"",,,"",,,"",,,"",,,"",,,"",,,"",,,"",,0.737,"L",,,"",,,"",,,"",
"4475.|Irrigation water withdrawal (10^9 m3/year)","37.|Central African Republic","World | Africa",,"",,,"",,,"",,,"",,,"",,4.0E-4,"L",,,"",,,"",,4.0E-4,"L","[318]",4.0E-4,"L","[319]",,"",,,"",
"4475.|Irrigation water withdrawal (10^9 m3/year)","39.|Chad","World | Africa",,"",,,"",,,"",,,"",,,"",,,"",,,"",,,"",,0.6722,"L",,0.6722,"L","[320]",,"",,,"",
"4475.|Irrigation water withdrawal (10^9 m3/year)","45.|Comoros","World | Africa",,"",,,"",,,"",,,"",,,"",,,"",,,"",,,"",,,"",,,"",,,"",,,"",
"4475.|Irrigation water withdrawal (10^9 m3/year)","46.|Congo","World | Africa",,"",,,"",,,"",,,"",,,"",,,"",,,"",,,"",,,"",,,"",,,"",,,"",
"4475.|Irrigation water withdrawal (10^9 m3/year)","107.|Côte d'Ivoire","World | Africa",,"",,,"",,,"",,,"",,,"",,,"",,,"",,,"",,,"",,0.5953,"L","[321]",0.5953,"L",,,"",
"4475.|Irrigation water withdrawal (10^9 m3/year)","250.|Democratic Republic of the Congo","World | Africa",,"",,,"",,,"",,,"",,,"",,,"",,,"",,,"",,0.0719,"L",,0.0719,"L","[322]",,"",,,"",
"4475.|Irrigation water withdrawal (10^9 m3/year)","72.|Djibouti","World | Africa",,"",,,"",,,"",,,"",,,"",,,"",,,"",,,"",,0.0025,"",,,"",,,"",,,"",
"4475.|Irrigation water withdrawal (10^9 m3/year)","59.|Egypt","World | Africa",,"",,,"",,,"",,,"",,,"",,,"",,,"",,,"",,,"",,,"",,,"",,,"",
"4475.|Irrigation water withdrawal (10^9 m3/year)","61.|Equatorial Guinea","World | Africa",,"",,,"",,,"",,,"",,,"",,,"",,,"",,,"",,,"",,,"",,,"",,,"",
"4475.|Irrigation water withdrawal (10^9 m3/year)","178.|Eritrea","World | Africa",,"",,,"",,,"",,,"",,,"",,,"",,,"",,,"",,,"",,,"",,,"",,,"",
"4475.|Irrigation water withdrawal (10^9 m3/year)","238.|Ethiopia","World | Africa",,"",,,"",,,"",,,"",,,"",,,"",,,"",,,"",,,"",,,"",,,"",,9.0,"I",
"4475.|Irrigation water withdrawal (10^9 m3/year)","74.|Gabon","World | Africa",,"",,,"",,,"",,,"",,,"",,,"",,,"",,,"",,0.0403,"L",,0.0403,"L","[323]",,"",,,"",
"4475.|Irrigation water withdrawal (10^9 m3/year)","75.|Gambia","World | Africa",,"",,,"",,,"",,,"",,,"",,,"",,,"",,,"",,0.0392,"L",,,"",,,"",,,"",
"4475.|Irrigation water withdrawal (10^9 m3/year)","81.|Ghana","World | Africa",,"",,,"",,,"",,,"",,,"",,,"",,,"",,,"",,,"",,,"",,,"",,,"",
"4475.|Irrigation water withdrawal (10^9 m3/year)","90.|Guinea","World | Africa",,"",,,"",,,"",,,"",,,"",,,"",,,"",,,"",,0.2929,"L",,,"",,,"",,,"",
"4475.|Irrigation water withdrawal (10^9 m3/year)","175.|Guinea-Bissau","World | Africa",,"",,,"",,,"",,,"",,,"",,,"",,,"",,,"",,,"",,,"",,,"",,,"",
"4475.|Irrigation water withdrawal (10^9 m3/year)","114.|Kenya","World | Africa",,"",,,"",,,"",,,"",,,"",,,"",,,"",,,"",,,"",,,"",,1.602,"",,,"",
"4475.|Irrigation water withdrawal (10^9 m3/year)","122.|Lesotho","World | Africa",,"",,,"",,,"",,,"",,,"",,,"",,,"",,,"",,0.0038,"L",,,"",,,"",,,"",
"4475.|Irrigation water withdrawal (10^9 m3/year)","123.|Liberia","World | Africa",,"",,,"",,,"",,,"",,,"",,,"",,,"",,,"",,0.0123,"L",,,"",,,"",,,"",
"4475.|Irrigation water withdrawal (10^9 m3/year)","124.|Libya","World | Africa",,"",,,"",,,"",,,"",,,"",,,"",,,"",,,"",,,"",,,"",,,"",,,"",
"4475.|Irrigation water withdrawal (10^9 m3/year)","129.|Madagascar","World | Africa",,"",,,"",,,"",,,"",,,"",,,"",,,"",,,"",,13.0,"I",,,"",,,"",,,"",
"4475.|Irrigation water withdrawal (10^9 m3/year)","130.|Malawi","World | Africa",,"",,,"",,,"",,,"",,,"",,,"",,,"",,,"",,1.166,"L",,1.166,"L","[324]",,"",,,"",
"4475.|Irrigation water withdrawal (10^9 m3/year)","133.|Mali","World | Africa",,"",,,"",,,"",,,"",,,"",,,"",,,"",,,"",,,"",,5.0,"",,,"",,,"",
"4475.|Irrigation water withdrawal (10^9 m3/year)","136.|Mauritania","World | Africa",,"",,,"",,,"",,,"",,,"",,,"",,,"",,,"",,,"",,1.223,"L",,,"",,,"",
"4475.|Irrigation water withdrawal (10^9 m3/year)","137.|Mauritius","World | Africa",,"",,,"",,,"",,,"",,,"",,,"",,,"",,,"",,,"",,,"",,,"",,,"",
"4475.|Irrigation water withdrawal (10^9 m3/year)","143.|Morocco","World | Africa",,"",,,"",,,"",,,"",,,"",,,"",,,"",,,"",,,"",,,"",,,"",,,"",
"4475.|Irrigation water withdrawal (10^9 m3/year)","144.|Mozambique","World | Africa",,"",,,"",,,"",,,"",,,"",,,"",,,"",,,"",,0.69,"L",,,"",,,"",,1.005,"","[325]"
"4475.|Irrigation water withdrawal (10^9 m3/year)","147.|Namibia","World | Africa",,"",,,"",,,"",,,"",,,"",,,"",,,"",,,"",,0.144,"","[326]",,"",,,"",,,"",
"4475.|Irrigation water withdrawal (10^9 m3/year)","158.|Niger","World | Africa",,"",,,"",,,"",,,"",,,"",,,"",,,"",,,"",,,"",,0.6565,"L",,,"",,,"",
"4475.|Irrigation water withdrawal (10^9 m3/year)","159.|Nigeria","World | Africa",,"",,,"",,,"",,,"",,,"",,,"",,,"",,,"",,,"",,7.047,"L",,4.549,"I",,,"",
"4475.|Irrigation water withdrawal (10^9 m3/year)","184.|Rwanda","World | Africa",,"",,,"",,,"",,,"",,,"",,,"",,,"",,,"",,,"",,,"",,,"",,,"",
"4475.|Irrigation water withdrawal (10^9 m3/year)","193.|Sao Tome and Principe","World | Africa",,"",,,"",,,"",,,"",,,"",,,"",,,"",,,"",,,"",,,"",,,"",,,"",
"4475.|Irrigation water withdrawal (10^9 m3/year)","195.|Senegal","World | Africa",,"",,,"",,,"",,,"",,,"",,,"",,,"",,,"",,,"",,,"",,,"",,,"",
"4475.|Irrigation water withdrawal (10^9 m3/year)","196.|Seychelles","World | Africa",,"",,,"",,,"",,,"",,,"",,,"",,,"",,,"",,,"",,,"",,,"",,,"",
"4475.|Irrigation water withdrawal (10^9 m3/year)","197.|Sierra Leone","World | Africa",,"",,,"",,,"",,,"",,,"",,,"",,0.0457,"L",,,"",,0.0457,"L","[327]",0.0457,"L","[328]",,"",,,"",
"4475.|Irrigation water withdrawal (10^9 m3/year)","201.|Somalia","World | Africa",,"",,,"",,,"",,,"",,,"",,,"",,,"",,,"",,,"",,,"",,,"",,,"",
"4475.|Irrigation water withdrawal (10^9 m3/year)","202.|South Africa","World | Africa",,"",,,"",,,"",,,"",,,"",,,"",,,"",,,"",,,"",,,"",,,"",,9.3,"",
"4475.|Irrigation water withdrawal (10^9 m3/year)","277.|South Sudan","World | Africa",,"",,,"",,,"",,,"",,,"",,,"",,,"",,,"",,,"",,,"",,,"",,,"",
"4475.|Irrigation water withdrawal (10^9 m3/year)","276.|Sudan","World | Africa",,"",,,"",,,"",,,"",,,"",,,"",,,"",,,"",,,"",,,"",,,"",,,"",
"4475.|Irrigation water withdrawal (10^9 m3/year)","209.|Swaziland","World | Africa",,"",,,"",,,"",,,"",,,"",,,"",,,"",,,"",,0.993,"",,,"",,,"",,,"",
"4475.|Irrigation water withdrawal (10^9 m3/year)","217.|Togo","World | Africa",,"",,,"",,,"",,,"",,,"",,,"",,,"",,,"",,0.046,"I",,,"",,,"",,,"",
"4475.|Irrigation water withdrawal (10^9 m3/year)","222.|Tunisia","World | Africa",,"",,,"",,,"",,,"",,,"",,,"",,,"",,,"",,,"",,,"",,,"",,,"",
"4475.|Irrigation water withdrawal (10^9 m3/year)","226.|Uganda","World | Africa",,"",,,"",,,"",,,"",,,"",,,"",,,"",,,"",,,"",,,"",,,"",,,"",
"4475.|Irrigation water withdrawal (10^9 m3/year)","215.|United Republic of Tanzania","World | Africa",,"",,,"",,,"",,,"",,,"",,,"",,,"",,,"",,4.425,"I",,,"",,,"",,,"",
"4475.|Irrigation water withdrawal (10^9 m3/year)","251.|Zambia","World | Africa",,"",,,"",,,"",,,"",,,"",,,"",,,"",,,"",,1.152,"L",,,"",,,"",,,"",
"4475.|Irrigation water withdrawal (10^9 m3/year)","181.|Zimbabwe","World | Africa",,"",,,"",,,"",,,"",,,"",,,"",,,"",,,"",,,"",,,"",,,"",,,"",
"4475.|Irrigation water withdrawal (10^9 m3/year)","8.|Antigua and Barbuda","World | Americas",,"",,,"",,,"",,,"",,,"",,,"",,,"",,0.0013,"L",,,"",,0.0013,"L","[329]",,"",,,"",
"4475.|Irrigation water withdrawal (10^9 m3/year)","9.|Argentina","World | Americas",,"",,,"",,,"",,,"",,,"",,,"",,,"",,,"",,,"",,,"",,,"",,,"",
"4475.|Irrigation water withdrawal (10^9 m3/year)","12.|Bahamas","World | Americas",,"",,,"",,,"",,,"",,,"",,,"",,,"",,,"",,,"",,,"",,,"",,,"",
"4475.|Irrigation water withdrawal (10^9 m3/year)","14.|Barbados","World | Americas",,"",,,"",,,"",,,"",,,"",,,"",,0.0548,"L",,,"",,,"",,0.0548,"L","[330]",,"",,,"",
"4475.|Irrigation water withdrawal (10^9 m3/year)","23.|Belize","World | Americas",,"",,,"",,,"",,,"",,,"",,,"",,,"",,,"",,,"",,,"",,,"",,,"",
"4475.|Irrigation water withdrawal (10^9 m3/year)","19.|Bolivia (Plurinational State of)","World | Americas",,"",,,"",,,"",,,"",,,"",,,"",,,"",,,"",,1.777,"L",,,"",,,"",,,"",
"4475.|Irrigation water withdrawal (10^9 m3/year)","21.|Brazil","World | Americas",,"",,,"",,,"",,,"",,,"",,,"",,,"",,,"",,,"",,,"",,,"",,,"",
"4475.|Irrigation water withdrawal (10^9 m3/year)","33.|Canada","World | Americas",,"",,,"",,,"",,,"",,,"",,,"",,3.193,"E","[331]",3.846,"E","[332]",,"",,,"",,4.749,"L","[333]",,"",
"4475.|Irrigation water withdrawal (10^9 m3/year)","40.|Chile","World | Americas",,"",,,"",,,"",,,"",,,"",,,"",,,"",,,"",,,"",,16.64,"","[334]",,"",,,"",
"4475.|Irrigation water withdrawal (10^9 m3/year)","44.|Colombia","World | Americas",,"",,,"",,,"",,,"",,,"",,,"",,,"",,,"",,,"",,,"",,5.867,"L",,,"",
"4475.|Irrigation water withdrawal (10^9 m3/year)","48.|Costa Rica","World | Americas",,"",,,"",,,"",,,"",,,"",,,"",,,"",,,"",,,"",,,"",,,"",,1.11,"",
"4475.|Irrigation water withdrawal (10^9 m3/year)","49.|Cuba","World | Americas",,"",,,"",,,"",,,"",,,"",,,"",,,"",,,"",,,"",,,"",,,"",,,"",
"4475.|Irrigation water withdrawal (10^9 m3/year)","55.|Dominica","World | Americas",,"",,,"",,,"",,,"",,,"",,,"",,,"",,,"",,,"",,,"",,,"",,,"",
"4475.|Irrigation water withdrawal (10^9 m3/year)","56.|Dominican Republic","World | Americas",,"",,,"",,,"",,,"",,,"",,,"",,,"",,,"",,4.0,"I",,3.949,"L",,4.879,"",,,"",
"4475.|Irrigation water withdrawal (10^9 m3/year)","58.|Ecuador","World | Americas",,"",,,"",,,"",,,"",,,"",,,"",,,"",,,"",,8.076,"L",,8.076,"L","[335]",,"",,,"",
"4475.|Irrigation water withdrawal (10^9 m3/year)","60.|El Salvador","World | Americas",,"",,,"",,,"",,,"",,,"",,,"",,,"",,,"",,,"",,1.389,"",,,"",,,"",
"4475.|Irrigation water withdrawal (10^9 m3/year)","86.|Grenada","World | Americas",,"",,,"",,,"",,,"",,,"",,,"",,,"",,0.0022,"L",,,"",,,"",,,"",,0.0021,"I",
"4475.|Irrigation water withdrawal (10^9 m3/year)","89.|Guatemala","World | Americas",,"",,,"",,,"",,,"",,,"",,,"",,,"",,,"",,,"",,,"",,,"",,,"",
"4475.|Irrigation water withdrawal (10^9 m3/year)","91.|Guyana","World | Americas",,"",,,"",,,"",,,"",,,"",,,"",,,"",,,"",,,"",,,"",,1.363,"L",,,"",
"4475.|Irrigation water withdrawal (10^9 m3/year)","93.|Haiti","World | Americas",,"",,,"",,,"",,,"",,,"",,,"",,,"",,,"",,,"",,,"",,1.209,"L",,,"",
"4475.|Irrigation water withdrawal (10^9 m3/year)","95.|Honduras","World | Americas",,"",,,"",,,"",,,"",,,"",,,"",,,"",,,"",,,"",,1.153,"",,,"",,,"",
"4475.|Irrigation water withdrawal (10^9 m3/year)","109.|Jamaica","World | Americas",,"",,,"",,,"",,,"",,,"",,,"",,,"",,,"",,,"",,0.448,"L",,,"",,,"",
"4475.|Irrigation water withdrawal (10^9 m3/year)","138.|Mexico","World | Americas",,"",,,"",,,"",,,"",,,"",,,"",,,"",,,"",,,"",,58.78,"E",,59.38,"E",,,"",
"4475.|Irrigation water withdrawal (10^9 m3/year)","157.|Nicaragua","World | Americas",,"",,,"",,,"",,,"",,,"",,,"",,,"",,,"",,,"",,,"",,1.11,"",,,"",
"4475.|Irrigation water withdrawal (10^9 m3/year)","166.|Panama","World | Americas",,"",,,"",,,"",,,"",,,"",,,"",,,"",,,"",,,"",,,"",,0.446,"",,,"",
"4475.|Irrigation water withdrawal (10^9 m3/year)","169.|Paraguay","World | Americas",,"",,,"",,,"",,,"",,,"",,,"",,,"",,,"",,,"",,,"",,,"",,,"",
"4475.|Irrigation water withdrawal (10^9 m3/year)","170.|Peru","World | Americas",,"",,,"",,,"",,,"",,,"",,,"",,,"",,,"",,,"",,,"",,,"",,,"",
"4475.|Irrigation water withdrawal (10^9 m3/year)","177.|Puerto Rico","World | Americas",,"",,,"",,,"",,,"",,,"",,,"",,0.1948,"",,,"",,0.1306,"",,0.0624,"",,0.0528,"",,,"",
"4475.|Irrigation water withdrawal (10^9 m3/year)","188.|Saint Kitts and Nevis","World | Americas",,"",,,"",,,"",,,"",,,"",,,"",,,"",,2.0E-4,"L",,,"",,,"",,,"",,,"",
"4475.|Irrigation water withdrawal (10^9 m3/year)","189.|Saint Lucia","World | Americas",,"",,,"",,,"",,,"",,,"",,,"",,,"",,,"",,,"",,,"",,,"",,,"",
"4475.|Irrigation water withdrawal (10^9 m3/year)","191.|Saint Vincent and the Grenadines","World | Americas",,"",,,"",,,"",,,"",,,"",,,"",,0.0101,"L",,,"",,,"",,,"",,,"",,,"",
"4475.|Irrigation water withdrawal (10^9 m3/year)","207.|Suriname","World | Americas",,"",,,"",,,"",,,"",,,"",,,"",,,"",,,"",,,"",,0.4311,"L",,,"",,,"",
"4475.|Irrigation water withdrawal (10^9 m3/year)","220.|Trinidad and Tobago","World | Americas",,"",,,"",,,"",,,"",,,"",,,"",,,"",,,"",,,"",,,"",,,"",,,"",
"4475.|Irrigation water withdrawal (10^9 m3/year)","231.|United States of America","World | Americas",,"",,,"",,,"",,,"",,,"",,,"",,188.5,"",,,"",,189.1,"","[336]",176.8,"","[337]",159.3,"","[338]",,"",
"4475.|Irrigation water withdrawal (10^9 m3/year)","234.|Uruguay","World | Americas",,"",,,"",,,"",,,"",,,"",,,"",,,"",,,"",,,"",,,"",,,"",,,"",
"4475.|Irrigation water withdrawal (10^9 m3/year)","236.|Venezuela (Bolivarian Republic of)","World | Americas",,"",,,"",,,"",,,"",,,"",,,"",,,"",,,"",,,"",,,"",,16.71,"L",,,"",
"4475.|Irrigation water withdrawal (10^9 m3/year)","2.|Afghanistan","World | Asia",,"",,,"",,,"",,,"",,,"",,,"",,,"",,,"",,,"",,,"",,,"",,,"",
"4475.|Irrigation water withdrawal (10^9 m3/year)","1.|Armenia","World | Asia",,"",,,"",,,"",,,"",,,"",,,"",,,"",,,"",,,"",,,"",,,"",,,"",
"4475.|Irrigation water withdrawal (10^9 m3/year)","52.|Azerbaijan","World | Asia",,"",,,"",,,"",,,"",,,"",,,"",,,"",,,"",,,"",,,"",,,"",,,"",
"4475.|Irrigation water withdrawal (10^9 m3/year)","13.|Bahrain","World | Asia",,"",,,"",,,"",,,"",,,"",,,"",,,"",,,"",,,"",,,"",,,"",,,"",
"4475.|Irrigation water withdrawal (10^9 m3/year)","16.|Bangladesh","World | Asia",,"",,,"",,,"",,,"",,,"",,,"",,,"",,,"",,,"",,,"",,,"",,,"",
"4475.|Irrigation water withdrawal (10^9 m3/year)","18.|Bhutan","World | Asia",,"",,,"",,,"",,,"",,,"",,,"",,,"",,,"",,,"",,,"",,,"",,,"",
"4475.|Irrigation water withdrawal (10^9 m3/year)","26.|Brunei Darussalam","World | Asia",,"",,,"",,,"",,,"",,,"",,,"",,,"",,0.0053,"L",,,"",,,"",,,"",,,"",
"4475.|Irrigation water withdrawal (10^9 m3/year)","115.|Cambodia","World | Asia",,"",,,"",,,"",,,"",,,"",,,"",,,"",,,"",,,"",,1.928,"",,,"",,,"",
"4475.|Irrigation water withdrawal (10^9 m3/year)","351.|China","World | Asia",,"",,,"",,,"",,,"",,,"",,,"",,,"",,,"",,,"",,,"",,,"",,,"",
"4475.|Irrigation water withdrawal (10^9 m3/year)","116.|Democratic People's Republic of Korea","World | Asia",,"",,,"",,,"",,,"",,,"",,,"",,,"",,,"",,,"",,,"",,,"",,,"",
"4475.|Irrigation water withdrawal (10^9 m3/year)","73.|Georgia","World | Asia",,"",,,"",,,"",,,"",,,"",,,"",,,"",,,"",,,"",,0.867,"",,,"",,,"",
"4475.|Irrigation water withdrawal (10^9 m3/year)","100.|India","World | Asia",,"",,,"",,,"",,,"",,,"",,,"",,,"",,,"",,,"",,,"",,,"",,,"",
"4475.|Irrigation water withdrawal (10^9 m3/year)","101.|Indonesia","World | Asia",,"",,,"",,,"",,,"",,,"",,,"",,,"",,,"",,,"",,,"",,,"",,,"",
"4475.|Irrigation water withdrawal (10^9 m3/year)","102.|Iran (Islamic Republic of)","World | Asia",,"",,,"",,,"",,,"",,,"",,,"",,,"",,,"",,,"",,,"",,,"",,,"",
"4475.|Irrigation water withdrawal (10^9 m3/year)","103.|Iraq","World | Asia",,"",,,"",,,"",,,"",,,"",,,"",,,"",,,"",,,"",,,"",,,"",,,"",
"4475.|Irrigation water withdrawal (10^9 m3/year)","105.|Israel","World | Asia",,"",,,"",,,"",,,"",,,"",,,"",,,"",,,"",,,"",,,"",,,"",,,"",
"4475.|Irrigation water withdrawal (10^9 m3/year)","110.|Japan","World | Asia",,"",,,"",,,"",,,"",,,"",,,"",,,"",,58.53,"E",,55.6,"E",,54.05,"E",,53.99,"E",,,"",
"4475.|Irrigation water withdrawal (10^9 m3/year)","112.|Jordan","World | Asia",,"",,,"",,,"",,,"",,,"",,,"",,,"",,,"",,,"",,,"",,,"",,,"",
"4475.|Irrigation water withdrawal (10^9 m3/year)","108.|Kazakhstan","World | Asia",,"",,,"",,,"",,,"",,,"",,,"",,,"",,,"",,,"",,,"",,,"",,,"",
"4475.|Irrigation water withdrawal (10^9 m3/year)","118.|Kuwait","World | Asia",,"",,,"",,,"",,,"",,,"",,,"",,,"",,,"",,,"",,,"",,,"",,,"",
"4475.|Irrigation water withdrawal (10^9 m3/year)","113.|Kyrgyzstan","World | Asia",,"",,,"",,,"",,,"",,,"",,,"",,,"",,,"",,,"",,,"",,,"",,,"",
"4475.|Irrigation water withdrawal (10^9 m3/year)","120.|Lao People's Democratic Republic","World | Asia",,"",,,"",,,"",,,"",,,"",,,"",,,"",,,"",,,"",,3.193,"L",,,"",,,"",
"4475.|Irrigation water withdrawal (10^9 m3/year)","121.|Lebanon","World | Asia",,"",,,"",,,"",,,"",,,"",,,"",,,"",,,"",,,"",,,"",,,"",,,"",
